,Time (s),Voltage (V)
0,-2.0,6.858022075225178e-15
1,-1.995995995995996,0.3519505798633126
2,-1.991991991991992,0.7023427115095258
3,-1.987987987987988,1.049625934122999
4,-1.983983983983984,1.392265718303302
5,-1.97997997997998,1.728751323544841
6,-1.975975975975976,2.0576035265189994
7,-1.971971971971972,2.3773821782150306
8,-1.967967967967968,2.686693548949715
9,-1.9639639639639639,2.98419742143832
10,-1.95995995995996,3.2686138935223354
11,-1.955955955955956,3.5387298537681247
12,-1.951951951951952,3.7934050949713667
13,-1.947947947947948,4.031578032619662
14,-1.9439439439439439,4.2522709975647714
15,-1.93993993993994,4.454595074525607
16,-1.935935935935936,4.637754460571022
17,-1.931931931931932,4.801050320400953
18,-1.927927927927928,4.94388411804314
19,-1.9239239239239239,5.065760407492722
20,-1.91991991991992,5.16628906782812
21,-1.915915915915916,5.245186971421824
22,-1.911911911911912,5.30227907701069
23,-1.907907907907908,5.337498942581111
24,-1.9039039039039038,5.350888656240136
25,-1.8998998998999,5.342598186467491
26,-1.8958958958958958,5.3128841563568505
27,-1.8918918918918919,5.262108049639722
28,-1.887887887887888,5.190733859423757
29,-1.8838838838838838,5.099325193652005
30,-1.87987987987988,4.988541854283024
31,-1.8758758758758758,4.859135910086878
32,-1.8718718718718719,4.711947285733582
33,-1.867867867867868,4.547898892501192
34,-1.8638638638638638,4.36799132843792
35,-1.85985985985986,4.17329717816016
36,-1.8558558558558558,3.9649549446443193
37,-1.8518518518518519,3.7441626473630327
38,-1.8478478478478477,3.51217112291288
39,-1.8438438438438438,3.2702770658734237
40,-1.83983983983984,3.019815849015225
41,-1.8358358358358358,2.7621541631322053
42,-1.8318318318318318,2.4986825177024605
43,-1.8278278278278277,2.2308076442780456
44,-1.8238238238238238,1.9599448449651486
45,-1.8198198198198199,1.6875103285758501
46,-1.8158158158158157,1.4149135770152612
47,-1.8118118118118118,1.1435497842085547
48,-1.8078078078078077,0.8747924093764738
49,-1.8038038038038038,0.609985885737036
50,-1.7997997997997999,0.35043852474898474
51,-1.7957957957957957,0.09741565482685988
52,-1.7917917917917918,-0.14786696794729515
53,-1.7877877877877877,-0.3842494412046006
54,-1.7837837837837838,-0.6106336556651558
55,-1.7797797797797799,-0.825988860417117
56,-1.7757757757757757,-1.0293568241885602
57,-1.7717717717717718,-1.2198565650510473
58,-1.7677677677677677,-1.3966886234939504
59,-1.7637637637637638,-1.5591388564472353
60,-1.7597597597597598,-1.7065817325920472
61,-1.7557557557557557,-1.8384831121666667
62,-1.7517517517517518,-1.9544024974344616
63,-1.7477477477477477,-2.053994743013533
64,-1.7437437437437437,-2.1370112183563634
65,-1.7397397397397398,-2.203300417796173
66,-1.7357357357357357,-2.2528080167252953
67,-1.7317317317317318,-2.28557637562286
68,-1.7277277277277276,-2.3017434967859054
69,-1.7237237237237237,-2.3015414417223155
70,-1.7197197197197198,-2.285294220217783
71,-1.7157157157157157,-2.2534151650746606
